areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage
W92000004,Wales,nation,2022-11-02,94.1
W92000004,Wales,nation,2022-11-01,94.1
W92000004,Wales,nation,2022-10-31,94.1
W92000004,Wales,nation,2022-10-30,94.1
W92000004,Wales,nation,2022-10-29,94.1
W92000004,Wales,nation,2022-10-28,94.1
W92000004,Wales,nation,2022-10-27,94.1
W92000004,Wales,nation,2022-10-26,94.1
W92000004,Wales,nation,2022-10-25,94.1
W92000004,Wales,nation,2022-10-24,94.1
W92000004,Wales,nation,2022-10-23,94.1
W92000004,Wales,nation,2022-10-22,94.1
W92000004,Wales,nation,2022-10-21,94.1
W92000004,Wales,nation,2022-10-20,94.1
W92000004,Wales,nation,2022-10-19,94.1
W92000004,Wales,nation,2022-10-18,94.1
W92000004,Wales,nation,2022-10-17,94.1
W92000004,Wales,nation,2022-10-16,94.1
W92000004,Wales,nation,2022-10-15,94.1
W92000004,Wales,nation,2022-10-14,94.1
W92000004,Wales,nation,2022-10-13,94.1
W92000004,Wales,nation,2022-10-12,94.1
W92000004,Wales,nation,2022-10-11,94.1
W92000004,Wales,nation,2022-10-10,94.1
W92000004,Wales,nation,2022-10-09,94.1
W92000004,Wales,nation,2022-10-08,94.1
W92000004,Wales,nation,2022-10-07,94.1
W92000004,Wales,nation,2022-10-06,94.1
W92000004,Wales,nation,2022-10-05,94.1
W92000004,Wales,nation,2022-10-04,94.1
W92000004,Wales,nation,2022-10-03,94.1
W92000004,Wales,nation,2022-10-02,94.1
W92000004,Wales,nation,2022-10-01,94.1
W92000004,Wales,nation,2022-09-30,94.1
W92000004,Wales,nation,2022-09-29,94.1
W92000004,Wales,nation,2022-09-28,94.1
W92000004,Wales,nation,2022-09-27,94.1
W92000004,Wales,nation,2022-09-26,94.1
W92000004,Wales,nation,2022-09-25,94.1
W92000004,Wales,nation,2022-09-24,94.1
W92000004,Wales,nation,2022-09-23,94.1
W92000004,Wales,nation,2022-09-22,94.1
W92000004,Wales,nation,2022-09-21,94.1
W92000004,Wales,nation,2022-09-20,94.1
W92000004,Wales,nation,2022-09-19,94.1
W92000004,Wales,nation,2022-09-18,94.1
W92000004,Wales,nation,2022-09-17,94.1
W92000004,Wales,nation,2022-09-16,94.1
W92000004,Wales,nation,2022-09-15,94.1
W92000004,Wales,nation,2022-09-14,94.1
W92000004,Wales,nation,2022-09-13,94.1
W92000004,Wales,nation,2022-09-12,94.1
W92000004,Wales,nation,2022-09-11,94.1
W92000004,Wales,nation,2022-09-10,94.1
W92000004,Wales,nation,2022-09-09,94.0
W92000004,Wales,nation,2022-09-08,94.0
W92000004,Wales,nation,2022-09-07,94.0
W92000004,Wales,nation,2022-09-06,94.0
W92000004,Wales,nation,2022-09-05,94.0
W92000004,Wales,nation,2022-09-04,94.0
W92000004,Wales,nation,2022-09-03,94.0
W92000004,Wales,nation,2022-09-02,94.0
W92000004,Wales,nation,2022-09-01,94.0
W92000004,Wales,nation,2022-08-31,94.0
W92000004,Wales,nation,2022-08-30,94.0
W92000004,Wales,nation,2022-08-29,94.0
W92000004,Wales,nation,2022-08-28,94.0
W92000004,Wales,nation,2022-08-27,94.0
W92000004,Wales,nation,2022-08-26,94.0
W92000004,Wales,nation,2022-08-25,94.0
W92000004,Wales,nation,2022-08-24,94.0
W92000004,Wales,nation,2022-08-23,94.0
W92000004,Wales,nation,2022-08-22,94.0
W92000004,Wales,nation,2022-08-21,94.0
W92000004,Wales,nation,2022-08-20,94.0
W92000004,Wales,nation,2022-08-19,94.0
W92000004,Wales,nation,2022-08-18,94.0
W92000004,Wales,nation,2022-08-17,94.0
W92000004,Wales,nation,2022-08-16,94.0
W92000004,Wales,nation,2022-08-15,93.9
W92000004,Wales,nation,2022-08-14,93.9
W92000004,Wales,nation,2022-08-13,93.9
W92000004,Wales,nation,2022-08-12,93.9
W92000004,Wales,nation,2022-08-11,93.9
W92000004,Wales,nation,2022-08-10,93.9
W92000004,Wales,nation,2022-08-09,93.9
W92000004,Wales,nation,2022-08-08,93.9
W92000004,Wales,nation,2022-08-07,93.9
W92000004,Wales,nation,2022-08-06,93.9
W92000004,Wales,nation,2022-08-05,93.9
W92000004,Wales,nation,2022-08-04,93.9
W92000004,Wales,nation,2022-08-03,93.9
W92000004,Wales,nation,2022-08-02,93.9
W92000004,Wales,nation,2022-08-01,93.9
W92000004,Wales,nation,2022-07-31,93.9
W92000004,Wales,nation,2022-07-30,93.9
W92000004,Wales,nation,2022-07-29,93.9
W92000004,Wales,nation,2022-07-28,93.8
W92000004,Wales,nation,2022-07-27,93.8
W92000004,Wales,nation,2022-07-26,93.8
W92000004,Wales,nation,2022-07-25,93.8
W92000004,Wales,nation,2022-07-24,93.8
W92000004,Wales,nation,2022-07-23,93.8
W92000004,Wales,nation,2022-07-22,93.8
W92000004,Wales,nation,2022-07-21,93.8
W92000004,Wales,nation,2022-07-20,93.7
W92000004,Wales,nation,2022-07-19,93.7
W92000004,Wales,nation,2022-07-18,93.7
W92000004,Wales,nation,2022-07-17,93.7
W92000004,Wales,nation,2022-07-16,93.7
W92000004,Wales,nation,2022-07-15,93.7
W92000004,Wales,nation,2022-07-14,93.7
W92000004,Wales,nation,2022-07-13,93.7
W92000004,Wales,nation,2022-07-12,93.7
W92000004,Wales,nation,2022-07-11,93.7
W92000004,Wales,nation,2022-07-10,93.7
W92000004,Wales,nation,2022-07-09,93.7
W92000004,Wales,nation,2022-07-08,93.6
W92000004,Wales,nation,2022-07-07,93.6
W92000004,Wales,nation,2022-07-06,93.6
W92000004,Wales,nation,2022-07-05,93.6
W92000004,Wales,nation,2022-07-04,93.6
W92000004,Wales,nation,2022-07-03,93.6
W92000004,Wales,nation,2022-07-02,93.6
W92000004,Wales,nation,2022-07-01,93.6
W92000004,Wales,nation,2022-06-30,93.6
W92000004,Wales,nation,2022-06-29,93.6
W92000004,Wales,nation,2022-06-28,93.6
W92000004,Wales,nation,2022-06-27,93.5
W92000004,Wales,nation,2022-06-26,93.5
W92000004,Wales,nation,2022-06-25,93.5
W92000004,Wales,nation,2022-06-24,93.4
W92000004,Wales,nation,2022-06-23,93.4
W92000004,Wales,nation,2022-06-22,93.4
W92000004,Wales,nation,2022-06-21,93.4
W92000004,Wales,nation,2022-06-20,93.4
W92000004,Wales,nation,2022-06-19,93.3
W92000004,Wales,nation,2022-06-18,93.3
W92000004,Wales,nation,2022-06-17,93.3
W92000004,Wales,nation,2022-06-16,93.3
W92000004,Wales,nation,2022-06-15,93.3
W92000004,Wales,nation,2022-06-14,93.3
W92000004,Wales,nation,2022-06-13,93.3
W92000004,Wales,nation,2022-06-12,93.3
W92000004,Wales,nation,2022-06-11,93.2
W92000004,Wales,nation,2022-06-10,93.2
W92000004,Wales,nation,2022-06-09,93.2
W92000004,Wales,nation,2022-06-08,93.2
W92000004,Wales,nation,2022-06-07,93.2
W92000004,Wales,nation,2022-06-06,93.2
W92000004,Wales,nation,2022-06-05,93.2
W92000004,Wales,nation,2022-06-04,93.2
W92000004,Wales,nation,2022-06-03,93.2
W92000004,Wales,nation,2022-06-02,93.2
W92000004,Wales,nation,2022-06-01,93.1
W92000004,Wales,nation,2022-05-31,93.1
W92000004,Wales,nation,2022-05-30,93.1
W92000004,Wales,nation,2022-05-29,93.1
W92000004,Wales,nation,2022-05-28,93.1
W92000004,Wales,nation,2022-05-27,93.1
W92000004,Wales,nation,2022-05-26,93.1
W92000004,Wales,nation,2022-05-25,93.1
W92000004,Wales,nation,2022-05-24,93.1
W92000004,Wales,nation,2022-05-23,93.1
W92000004,Wales,nation,2022-05-22,93.1
W92000004,Wales,nation,2022-05-21,93.1
W92000004,Wales,nation,2022-05-20,93.0
W92000004,Wales,nation,2022-05-19,93.0
W92000004,Wales,nation,2022-05-18,93.0
W92000004,Wales,nation,2022-05-17,93.0
W92000004,Wales,nation,2022-05-16,93.0
W92000004,Wales,nation,2022-05-15,93.0
W92000004,Wales,nation,2022-05-14,93.0
W92000004,Wales,nation,2022-05-13,92.9
W92000004,Wales,nation,2022-05-12,92.9
W92000004,Wales,nation,2022-05-11,92.9
W92000004,Wales,nation,2022-05-10,92.9
W92000004,Wales,nation,2022-05-09,92.8
W92000004,Wales,nation,2022-05-08,92.8
W92000004,Wales,nation,2022-05-07,92.8
W92000004,Wales,nation,2022-05-06,92.8
W92000004,Wales,nation,2022-05-05,92.7
W92000004,Wales,nation,2022-05-04,92.7
W92000004,Wales,nation,2022-05-03,92.7
W92000004,Wales,nation,2022-05-02,92.7
W92000004,Wales,nation,2022-05-01,92.7
W92000004,Wales,nation,2022-04-30,92.7
W92000004,Wales,nation,2022-04-29,92.6
W92000004,Wales,nation,2022-04-28,92.6
W92000004,Wales,nation,2022-04-27,92.6
W92000004,Wales,nation,2022-04-26,92.5
W92000004,Wales,nation,2022-04-25,92.5
W92000004,Wales,nation,2022-04-24,92.5
W92000004,Wales,nation,2022-04-23,92.5
W92000004,Wales,nation,2022-04-22,92.4
W92000004,Wales,nation,2022-04-21,92.4
W92000004,Wales,nation,2022-04-20,92.4
W92000004,Wales,nation,2022-04-19,92.4
W92000004,Wales,nation,2022-04-18,92.3
W92000004,Wales,nation,2022-04-17,92.3
W92000004,Wales,nation,2022-04-16,92.3
W92000004,Wales,nation,2022-04-15,92.3
W92000004,Wales,nation,2022-04-14,92.3
W92000004,Wales,nation,2022-04-13,92.3
W92000004,Wales,nation,2022-04-12,92.3
W92000004,Wales,nation,2022-04-11,92.3
W92000004,Wales,nation,2022-04-10,92.2
W92000004,Wales,nation,2022-04-09,92.2
W92000004,Wales,nation,2022-04-08,92.1
W92000004,Wales,nation,2022-04-07,92.1
W92000004,Wales,nation,2022-04-06,92.1
W92000004,Wales,nation,2022-04-05,92.1
W92000004,Wales,nation,2022-04-04,92.1
W92000004,Wales,nation,2022-04-03,92.0
W92000004,Wales,nation,2022-04-02,92.0
W92000004,Wales,nation,2022-04-01,92.0
W92000004,Wales,nation,2022-03-31,92.0
W92000004,Wales,nation,2022-03-30,91.9
W92000004,Wales,nation,2022-03-29,91.9
W92000004,Wales,nation,2022-03-28,91.9
W92000004,Wales,nation,2022-03-27,91.9
W92000004,Wales,nation,2022-03-26,91.8
W92000004,Wales,nation,2022-03-25,91.8
W92000004,Wales,nation,2022-03-24,91.8
W92000004,Wales,nation,2022-03-23,91.8
W92000004,Wales,nation,2022-03-22,91.8
W92000004,Wales,nation,2022-03-21,91.8
W92000004,Wales,nation,2022-03-20,91.8
W92000004,Wales,nation,2022-03-19,91.8
W92000004,Wales,nation,2022-03-18,91.8
W92000004,Wales,nation,2022-03-17,91.7
W92000004,Wales,nation,2022-03-16,91.7
W92000004,Wales,nation,2022-03-15,91.7
W92000004,Wales,nation,2022-03-14,91.7
W92000004,Wales,nation,2022-03-13,91.7
W92000004,Wales,nation,2022-03-12,91.7
W92000004,Wales,nation,2022-03-11,91.7
W92000004,Wales,nation,2022-03-10,91.7
W92000004,Wales,nation,2022-03-09,91.7
W92000004,Wales,nation,2022-03-08,91.7
W92000004,Wales,nation,2022-03-07,91.7
W92000004,Wales,nation,2022-03-06,91.7
W92000004,Wales,nation,2022-03-05,91.6
W92000004,Wales,nation,2022-03-04,91.6
W92000004,Wales,nation,2022-03-03,91.6
W92000004,Wales,nation,2022-03-02,91.6
W92000004,Wales,nation,2022-03-01,91.6
W92000004,Wales,nation,2022-02-28,91.6
W92000004,Wales,nation,2022-02-27,91.6
W92000004,Wales,nation,2022-02-26,91.6
W92000004,Wales,nation,2022-02-25,91.6
W92000004,Wales,nation,2022-02-24,91.6
W92000004,Wales,nation,2022-02-23,91.6
W92000004,Wales,nation,2022-02-22,91.5
W92000004,Wales,nation,2022-02-21,91.5
W92000004,Wales,nation,2022-02-20,91.5
W92000004,Wales,nation,2022-02-19,91.5
W92000004,Wales,nation,2022-02-18,91.5
W92000004,Wales,nation,2022-02-17,91.5
W92000004,Wales,nation,2022-02-16,91.5
W92000004,Wales,nation,2022-02-15,91.5
W92000004,Wales,nation,2022-02-14,91.5
W92000004,Wales,nation,2022-02-13,91.5
W92000004,Wales,nation,2022-02-12,91.4
W92000004,Wales,nation,2022-02-11,91.4
W92000004,Wales,nation,2022-02-10,91.4
W92000004,Wales,nation,2022-02-09,91.4
W92000004,Wales,nation,2022-02-08,91.4
W92000004,Wales,nation,2022-02-07,91.4
W92000004,Wales,nation,2022-02-06,91.4
W92000004,Wales,nation,2022-02-05,91.3
W92000004,Wales,nation,2022-02-04,91.3
W92000004,Wales,nation,2022-02-03,91.3
W92000004,Wales,nation,2022-02-02,91.3
W92000004,Wales,nation,2022-02-01,91.3
W92000004,Wales,nation,2022-01-31,91.3
W92000004,Wales,nation,2022-01-30,91.2
W92000004,Wales,nation,2022-01-29,91.2
W92000004,Wales,nation,2022-01-28,91.2
W92000004,Wales,nation,2022-01-27,91.1
W92000004,Wales,nation,2022-01-26,91.1
W92000004,Wales,nation,2022-01-25,91.1
W92000004,Wales,nation,2022-01-24,91.1
W92000004,Wales,nation,2022-01-23,91.1
W92000004,Wales,nation,2022-01-22,91.0
W92000004,Wales,nation,2022-01-21,91.0
W92000004,Wales,nation,2022-01-20,91.0
W92000004,Wales,nation,2022-01-19,91.0
W92000004,Wales,nation,2022-01-18,91.0
W92000004,Wales,nation,2022-01-17,90.9
W92000004,Wales,nation,2022-01-16,90.9
W92000004,Wales,nation,2022-01-15,90.9
W92000004,Wales,nation,2022-01-14,90.9
W92000004,Wales,nation,2022-01-13,90.8
W92000004,Wales,nation,2022-01-12,90.8
W92000004,Wales,nation,2022-01-11,90.8
W92000004,Wales,nation,2022-01-10,90.8
W92000004,Wales,nation,2022-01-09,90.7
W92000004,Wales,nation,2022-01-08,90.7
W92000004,Wales,nation,2022-01-07,90.7
W92000004,Wales,nation,2022-01-06,90.6
W92000004,Wales,nation,2022-01-05,90.6
W92000004,Wales,nation,2022-01-04,90.6
W92000004,Wales,nation,2022-01-03,90.5
W92000004,Wales,nation,2022-01-02,90.5
W92000004,Wales,nation,2022-01-01,90.5
W92000004,Wales,nation,2021-12-31,90.5
W92000004,Wales,nation,2021-12-30,90.5
W92000004,Wales,nation,2021-12-29,90.5
W92000004,Wales,nation,2021-12-28,90.4
W92000004,Wales,nation,2021-12-27,90.4
W92000004,Wales,nation,2021-12-26,90.4
W92000004,Wales,nation,2021-12-25,90.4
W92000004,Wales,nation,2021-12-24,90.4
W92000004,Wales,nation,2021-12-23,90.4
W92000004,Wales,nation,2021-12-22,90.3
W92000004,Wales,nation,2021-12-21,90.3
W92000004,Wales,nation,2021-12-20,90.3
W92000004,Wales,nation,2021-12-19,90.2
W92000004,Wales,nation,2021-12-18,90.2
W92000004,Wales,nation,2021-12-17,90.2
W92000004,Wales,nation,2021-12-16,90.1
W92000004,Wales,nation,2021-12-15,90.1
W92000004,Wales,nation,2021-12-14,90.1
W92000004,Wales,nation,2021-12-13,90.0
W92000004,Wales,nation,2021-12-12,90.0
W92000004,Wales,nation,2021-12-11,90.0
W92000004,Wales,nation,2021-12-10,90.0
W92000004,Wales,nation,2021-12-09,89.9
